Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11912,5,5,HOW,RUM,-17.93170650014226,131.63606054714626,-24.00337992613515
11913,5,5,HOW,RUM,-18.300167247500603,131.89103233608094,-24.482736274510323
11914,5,5,HOW,RUM,-18.668627994858948,132.14600412501562,-24.962092622885496
11915,5,5,HOW,RUM,-19.037088742217293,132.4009759139503,-25.44144897126067
11916,5,5,HOW,RUM,-19.405549489575638,132.655947702885,-25.920805319635843
11917,5,5,HOW,RUM,-19.774010236933982,132.91091949181967,-26.400161668011016
11918,5,5,HOW,RUM,-20.142470984292327,133.16589128075435,-26.87951801638619
11919,5,5,HOW,SHY,3.1802463288425105,116.77256875433133,4.347880516532958
11920,5,5,HOW,SHY,2.553015063685021,116.95241250866266,4.417116405065915
11921,5,5,HOW,SHY,1.9257837985275317,117.13225626299399,4.486352293598872
11922,5,5,HOW,SHY,1.2985525333700423,117.31210001732532,4.55558818213183
11923,5,5,HOW,SHY,0.671321268212553,117.49194377165665,4.624824070664787
11924,5,5,HOW,SHY,0.04409000305506372,117.67178752598798,4.6940599591977445
11925,5,5,HOW,SHY,-0.5831412621024256,117.85163128031931,4.763295847730702
11926,5,5,HOW,SHY,-1.2103725272599148,118.03147503465064,4.832531736263659
11927,5,5,HOW,SHY,-1.8376037924174042,118.21131878898197,4.901767624796617
11928,5,5,HOW,SHY,-2.4648350575748936,118.3911625433133,4.971003513329574
11929,5,5,HOW,SHY,-3.092066322732383,118.57100629764463,5.040239401862531
11930,5,5,HOW,SHY,-3.7192975878898724,118.75085005197596,5.109475290395489
11931,5,5,HOW,SHY,-4.346528853047362,118.93069380630729,5.178711178928446
11932,5,5,HOW,SHY,-4.973760118204851,119.11053756063862,5.2479470674614035
11933,5,5,HOW,SHY,-5.60099138336234,119.29038131496995,5.317182955994361
11934,5,5,HOW,SHY,-6.228222648519829,119.47022506930128,5.386418844527318
11935,5,5,HOW,SHY,-6.855453913677318,119.65006882363261,5.455654733060276
11936,5,5,HOW,SHY,-7.4826851788348065,119.82991257796394,5.524890621593233
11937,5,5,HOW,SHY,-8.109916443992295,120.00975633229527,5.59412651012619
11938,5,5,HOW,SHY,-8.737147709149784,120.1896000866266,5.663362398659148
11939,5,5,HOW,SHY,-9.364378974307273,120.36944384095793,5.732598287192105
11940,5,5,HOW,SHY,-9.991610239464762,120.54928759528926,5.801834175725062
11941,5,5,HOW,SHY,-10.618841504622251,120.72913134962059,5.87107006425802
11942,5,5,HOW,SHY,-11.24607276977974,120.90897510395192,5.940305952790977
11943,5,5,HOW,SHY,-11.87330403493723,121.08881885828325,6.0095418413239345
11944,5,5,HOW,SHY,-12.500535300094718,121.26866261261458,6.078777729856892
11945,5,5,HOW,SHY,-13.127766565252207,121.4485063669459,6.148013618389849
11946,5,5,HOW,SHY,-13.754997830409696,121.62835012127724,6.217249506922807
11947,5,5,HOW,SHY,-14.382229095567185,121.80819387560857,6.286485395455764
11948,5,5,HOW,SHY,-15.009460360724674,121.9880376299399,6.355721283988721
11949,5,5,HOW,SHY,-15.636691625882163,122.16788138427123,6.424957172521679
11950,5,5,HOW,SHY,-16.263922891039652,122.34772513860256,6.494193061054636
11951,5,5,HOW,SHY,-16.891154156197143,122.52756889293389,6.5634289495875935
11952,5,5,HOW,SHY,-17.518385421354633,122.70741264726522,6.632664838120551
11953,5,5,HOW,SHY,-18.145616686512124,122.88725640159655,6.701900726653508
11954,5,5,HOW,SHY,-18.772847951669615,123.06710015592787,6.771136615186466
11955,5,5,HOW,SHY,-19.400079216827105,123.2469439102592,6.840372503719423
11956,5,5,HOW,SHY,-20.027310481984596,123.42678766459053,6.90960839225238
11957,5,5,HOW,SHY,-20.654541747142087,123.60663141892186,6.978844280785338
11958,5,5,HOW,SHY,-21.281773012299578,123.7864751732532,7.048080169318295
11959,5,5,HOW,SHY,-21.90900427745707,123.96631892758452,7.117316057851252
11960,5,5,HOW,SHY,-22.53623554261456,124.14616268191585,7.18655194638421
11961,5,5,HOW,SHY,-23.16346680777205,124.32600643624718,7.255787834917167
11962,5,5,HOW,SHY,-23.79069807292954,124.50585019057851,7.3250237234501245
11963,5,5,HOW,SHY,-24.41792933808703,124.68569394490984,7.394259611983082
11964,5,5,HOW,SHY,-25.045160603244522,124.86553769924117,7.463495500516039
11965,5,5,HOW,SHY,-25.672391868402013,125.0453814535725,7.532731389048997
11966,5,5,HOW,SHY,-26.299623133559503,125.22522520790383,7.601967277581954
11967,5,5,HOW,SHY,-26.926854398716994,125.40506896223516,7.671203166114911
11968,5,5,HOW,SHY,-27.554085663874485,125.58491271656649,7.740439054647869
11969,5,5,HOW,SHY,-28.181316929031976,125.76475647089782,7.809674943180826
