Pixel_i,Module,Node1,Node2,X,Y,Z
10259,14,IRE,LAW,409.70324186725503,-24.74206832608148,143.86112355406647
10260,14,IRE,LAW,409.2178744269895,-25.180464582874844,143.80836358644285
10261,14,IRE,LAW,408.732506986724,-25.61886083966821,143.75560361881924
10262,14,IRE,LAW,408.24713954645847,-26.057257096461573,143.70284365119562
10263,14,IRE,LAW,407.76177210619295,-26.495653353254937,143.650083683572
10264,14,IRE,LAW,407.27640466592743,-26.9340496100483,143.5973237159484
10265,14,IRE,LAW,406.7910372256619,-27.372445866841666,143.54456374832478
10266,14,IRE,LAW,406.3056697853964,-27.81084212363503,143.49180378070116
10267,14,IRE,RIB,432.37022524999907,-3.682073251817809,146.5740019716128
10268,14,IRE,RIB,431.73957149999814,-3.6650985036356185,146.75440194322562
10269,14,IRE,RIB,431.1089177499972,-3.648123755453428,146.93480191483843
10270,14,IRE,RIB,430.4782639999963,-3.631149007271237,147.11520188645125
10271,14,IRE,RIB,429.84761024999534,-3.6141742590890464,147.29560185806406
10272,14,IRE,RIB,429.2169564999944,-3.5971995109068557,147.47600182967687
10273,14,IRE,RIB,428.5863027499935,-3.580224762724665,147.6564018012897
10274,14,IRE,RIB,427.95564899999255,-3.5632500145424744,147.8368017729025
10275,14,IRE,RIB,427.3249952499916,-3.5462752663602837,148.01720174451532
10276,14,IRE,RIB,426.6943414999907,-3.529300518178093,148.19760171612813
10277,14,IRE,RIB,426.06368774998975,-3.5123257699959023,148.37800168774095
10278,14,IRE,RIB,425.4330339999888,-3.4953510218137116,148.55840165935376
10279,14,IRE,RIB,424.8023802499879,-3.478376273631521,148.73880163096658
10280,14,IRE,RIB,424.17172649998696,-3.46140152544933,148.9192016025794
10281,14,IRE,RIB,423.54107274998603,-3.4444267772671395,149.0996015741922
10282,14,IRE,RIB,422.9104189999851,-3.427452029084949,149.28000154580502
10283,14,IRE,RIB,422.27976524998417,-3.410477280902758,149.46040151741784
10284,14,IRE,RIB,421.64911149998323,-3.3935025327205675,149.64080148903065
10285,14,IRE,RIB,421.0184577499823,-3.3765277845383768,149.82120146064346
10286,14,IRE,RIB,420.3878039999814,-3.359553036356186,150.00160143225628
10287,14,IRE,RIB,419.75715024998044,-3.3425782881739954,150.1820014038691
10288,14,IRE,RIB,419.1264964999795,-3.3256035399918047,150.3624013754819
10289,14,IRE,RIB,418.4958427499786,-3.308628791809614,150.54280134709472
10290,14,IRE,RIB,417.86518899997765,-3.2916540436274233,150.72320131870754
10291,14,IRE,RIB,417.2345352499767,-3.2746792954452326,150.90360129032035
10292,14,IRE,RIB,416.6038814999758,-3.257704547263042,151.08400126193317
10293,14,IRE,RIB,415.97322774997485,-3.2407297990808512,151.26440123354598
10294,14,IRE,RIB,415.3425739999739,-3.2237550508986605,151.4448012051588
10295,14,IRE,RIB,414.711920249973,-3.20678030271647,151.6252011767716
10296,14,IRE,RIB,414.08126649997206,-3.189805554534279,151.80560114838443
10297,14,IRE,RIB,413.4506127499711,-3.1728308063520885,151.98600111999724
10298,14,IRE,RIB,412.8199589999702,-3.155856058169898,152.16640109161006
10299,14,IRE,RIB,412.18930524996927,-3.138881309987707,152.34680106322287
10300,14,IRE,RIB,411.55865149996833,-3.1219065618055164,152.52720103483568
10301,14,IRE,RIB,410.9279977499674,-3.1049318136233257,152.7076010064485
10302,14,IRE,RIB,410.2973439999665,-3.087957065441135,152.8880009780613
10303,14,IRE,RIB,409.66669024996554,-3.0709823172589443,153.06840094967413
10304,14,IRE,RIB,409.0360364999646,-3.0540075690767536,153.24880092128694
10305,14,IRE,RIB,408.4053827499637,-3.037032820894563,153.42920089289976
10306,14,IRE,RIB,407.77472899996275,-3.0200580727123723,153.60960086451257
10307,14,IRE,RIB,407.1440752499618,-3.0030833245301816,153.7900008361254
10308,14,IRE,RIB,406.5134214999609,-2.986108576347991,153.9704008077382
10309,14,IRE,RIB,405.88276774995995,-2.9691338281658,154.15080077935102
10310,14,IRE,RIB,405.252113999959,-2.9521590799836095,154.33120075096383
10311,14,IRE,RIB,404.6214602499581,-2.935184331801419,154.51160072257665
10312,14,IRE,RIB,403.99080649995716,-2.918209583619228,154.69200069418946
10313,14,IRE,RIB,403.3601527499562,-2.9012348354370374,154.87240066580227
10314,14,IRE,RIB,402.7294989999553,-2.8842600872548467,155.0528006374151
10315,14,IRE,RIB,402.09884524995437,-2.867285339072656,155.2332006090279
10316,14,IRE,RIB,401.46819149995343,-2.8503105908904653,155.41360058064072
10317,14,IRE,RIB,400.8375377499525,-2.8333358427082747,155.59400055225353
10318,14,IRE,RIB,400.2068839999516,-2.816361094526084,155.77440052386635
10319,14,IRE,RIB,399.57623024995064,-2.7993863463438933,155.95480049547916
10320,14,IRE,RIB,398.9455764999497,-2.7824115981617026,156.13520046709198
10321,14,IRE,RIB,398.3149227499488,-2.765436849979512,156.3156004387048
10322,14,IRE,RIB,397.68426899994785,-2.748462101797321,156.4960004103176
10323,14,IRE,RIB,397.0536152499469,-2.7314873536151305,156.67640038193042
10324,14,LAW,RIB,406.5593670640232,-26.842367855164223,143.83315296438687
